Time,Bid_Open,Bid_Close,Ask_Open,Ask_Close
2016-02-16T22:00:00.000000000Z,1.11420,1.11256,1.11446,1.11286
2016-02-17T22:00:00.000000000Z,1.11230,1.11054,1.11284,1.11087
2016-02-18T22:00:00.000000000Z,1.11038,1.11272,1.11091,1.11334
2016-02-21T22:00:00.000000000Z,1.11060,1.10273,1.11160,1.10306
2016-02-22T22:00:00.000000000Z,1.10275,1.10180,1.10318,1.10203
2016-02-23T22:00:00.000000000Z,1.10175,1.10122,1.10218,1.10148
2016-02-24T22:00:00.000000000Z,1.10130,1.10172,1.10161,1.10192
2016-02-25T22:00:00.000000000Z,1.10173,1.09275,1.10207,1.09367
2016-02-28T22:00:00.000000000Z,1.09107,1.08715,1.09183,1.08740
2016-02-29T22:00:00.000000000Z,1.08730,1.08657,1.08812,1.08699
2016-03-01T22:00:00.000000000Z,1.08659,1.08670,1.08691,1.08693
2016-03-02T22:00:00.000000000Z,1.08668,1.09553,1.08710,1.09579
2016-03-03T22:00:00.000000000Z,1.09537,1.09999,1.09584,1.10099
2016-03-06T22:00:00.000000000Z,1.09854,1.10119,1.09954,1.10148
2016-03-07T22:00:00.000000000Z,1.10125,1.10101,1.10163,1.10122
2016-03-08T22:00:00.000000000Z,1.10089,1.09988,1.10113,1.10006
2016-03-09T22:00:00.000000000Z,1.09981,1.11773,1.10004,1.11810
2016-03-10T22:00:00.000000000Z,1.11772,1.11456,1.11862,1.11520
2016-03-13T21:00:00.000000000Z,1.11337,1.11015,1.11437,1.11046
2016-03-14T21:00:00.000000000Z,1.10998,1.11075,1.11042,1.11097
2016-03-15T21:00:00.000000000Z,1.11073,1.12237,1.11113,1.12264
2016-03-16T21:00:00.000000000Z,1.12212,1.13178,1.12278,1.13194
2016-03-17T21:00:00.000000000Z,1.13144,1.12688,1.13198,1.12733
2016-03-20T21:00:00.000000000Z,1.12558,1.12403,1.12658,1.12421
2016-03-21T21:00:00.000000000Z,1.12376,1.12157,1.12412,1.12180
2016-03-22T21:00:00.000000000Z,1.12162,1.11803,1.12189,1.11821
2016-03-23T21:00:00.000000000Z,1.11764,1.11735,1.11852,1.11762
2016-03-24T21:00:00.000000000Z,1.11713,1.11623,1.11771,1.11723
2016-03-27T21:00:00.000000000Z,1.11609,1.11935,1.11709,1.11964
2016-03-28T21:00:00.000000000Z,1.11940,1.12907,1.12003,1.12937
2016-03-29T21:00:00.000000000Z,1.12885,1.13362,1.12940,1.13395
2016-03-30T21:00:00.000000000Z,1.13359,1.13782,1.13393,1.13817
2016-03-31T21:00:00.000000000Z,1.13781,1.13867,1.13826,1.13967
2016-04-03T21:00:00.000000000Z,1.13984,1.13870,1.14043,1.13925
2016-04-04T21:00:00.000000000Z,1.13843,1.13829,1.13920,1.13863
2016-04-05T21:00:00.000000000Z,1.13811,1.13980,1.13873,1.14002
2016-04-06T21:00:00.000000000Z,1.13971,1.13767,1.14000,1.13811
2016-04-07T21:00:00.000000000Z,1.13762,1.13929,1.13799,1.14029
2016-04-10T21:00:00.000000000Z,1.14132,1.14072,1.14217,1.14108
2016-04-11T21:00:00.000000000Z,1.14011,1.13835,1.14105,1.13878
2016-04-12T21:00:00.000000000Z,1.13828,1.12734,1.13864,1.12754
2016-04-13T21:00:00.000000000Z,1.12721,1.12655,1.12753,1.12684
2016-04-14T21:00:00.000000000Z,1.12611,1.12802,1.12659,1.12871
2016-04-17T21:00:00.000000000Z,1.12978,1.13111,1.13078,1.13166
2016-04-18T21:00:00.000000000Z,1.13086,1.13558,1.13153,1.13597
2016-04-19T21:00:00.000000000Z,1.13581,1.12963,1.13605,1.12987
2016-04-20T21:00:00.000000000Z,1.12954,1.12864,1.12997,1.12887
2016-04-21T21:00:00.000000000Z,1.12851,1.12195,1.12884,1.12295
2016-04-24T21:00:00.000000000Z,1.12144,1.12678,1.12220,1.12720
2016-04-25T21:00:00.000000000Z,1.12690,1.12982,1.12724,1.13017
2016-04-26T21:00:00.000000000Z,1.12974,1.13194,1.13017,1.13239
2016-04-27T21:00:00.000000000Z,1.13198,1.13503,1.13243,1.13533
2016-04-28T21:00:00.000000000Z,1.13530,1.14447,1.13559,1.14547
2016-05-01T21:00:00.000000000Z,1.14583,1.15331,1.14650,1.15347
2016-05-02T21:00:00.000000000Z,1.15281,1.14951,1.15330,1.14975
2016-05-03T21:00:00.000000000Z,1.14951,1.14849,1.14987,1.14888
2016-05-04T21:00:00.000000000Z,1.14838,1.14040,1.14884,1.14065
2016-05-05T21:00:00.000000000Z,1.14030,1.14028,1.14060,1.14061
2016-05-08T21:00:00.000000000Z,1.13918,1.13807,1.14001,1.13827
2016-05-09T21:00:00.000000000Z,1.13803,1.13706,1.13825,1.13741
2016-05-10T21:00:00.000000000Z,1.13692,1.14251,1.13738,1.14271
2016-05-11T21:00:00.000000000Z,1.14244,1.13754,1.14264,1.13783
2016-05-12T21:00:00.000000000Z,1.13745,1.13031,1.13771,1.13131
2016-05-15T21:00:00.000000000Z,1.13067,1.13189,1.13166,1.13225
2016-05-16T21:00:00.000000000Z,1.13198,1.13120,1.13230,1.13144
2016-05-17T21:00:00.000000000Z,1.13125,1.12148,1.13151,1.12177
2016-05-18T21:00:00.000000000Z,1.12138,1.12018,1.12174,1.12034
2016-05-19T21:00:00.000000000Z,1.12021,1.12216,1.12039,1.12247
2016-05-22T21:00:00.000000000Z,1.12037,1.12193,1.12127,1.12210
2016-05-23T21:00:00.000000000Z,1.12175,1.11397,1.12196,1.11418
2016-05-24T21:00:00.000000000Z,1.11389,1.11537,1.11419,1.11553
2016-05-25T21:00:00.000000000Z,1.11489,1.11924,1.11587,1.11944
2016-05-26T21:00:00.000000000Z,1.11930,1.11102,1.11953,1.11157
2016-05-29T21:00:00.000000000Z,1.11101,1.11358,1.11168,1.11400
2016-05-30T21:00:00.000000000Z,1.11363,1.11307,1.11401,1.11330
2016-05-31T21:00:00.000000000Z,1.11305,1.11865,1.11328,1.11882
2016-06-01T21:00:00.000000000Z,1.11868,1.11497,1.11889,1.11530
2016-06-02T21:00:00.000000000Z,1.11491,1.13651,1.11580,1.13684
